Company Name,Address Type,Street,City,State,ZIP Code
#1 Professional Cleaning Services,Mailing,P.O. Box 7555,Westchester,IL,60154
#1 Professional Cleaning Services,Physical,2205 Mayfair,Westchester,IL,60154
"#9 Design, LLC",Mailing,28 East Saint Charles Road,Villa Park,IL,60181
"#9 Design, LLC",Physical,524 West Saint Charles Road,Villa Park,IL,60181
'Bouche' Enterprises LLC,Mailing,3511 North Osceola Avenue,Chicago,IL,60634
'Bouche' Enterprises LLC,Physical,3511 North Osceola Avenue,Chicago,IL,60634
'Merica Made Painting & Decorating Corp.,Mailing,6221 S Austin Ave,Chicago,IL,60638
'Merica Made Painting & Decorating Corp.,Physical,6221 S Austin Ave,Chicago,IL,60638
*VDR Development Group,Mailing,168 N Brandon Drive,Glendale Heights,IL,60190
*VDR Development Group,Physical,168 N Brandon Drive,Glendale Heights,IL,60190
"1052 Partners, Inc. dba PeopleCaddie",Mailing,"5600 N River Rd, Suite 800",Rosemont,IL,60018
"1052 Partners, Inc. dba PeopleCaddie",Physical,"5600 N River Rd, Suite 800",Rosemont,IL,60018
123 Labor Inc.,Mailing,8318 Rutherford Ave,Burbank,IL,60459
123 Labor Inc.,Physical,8318 Rutherford Ave,Burbank,IL,60459
1822 Enterprises LLC,Mailing,"4524 S King Dr, Unit 3, Unit 3",Chicago,IL,60653
1822 Enterprises LLC,Physical,"4524 S King Dr, Unit 3, Unit 3",Chicago,IL,60653
"1st Aerow Valuation Group, LLC",Mailing,2706 E. 76th Pl.,Chicago,IL,60649
"1st Aerow Valuation Group, LLC",Physical,2706 E. 76th Pl.,Chicago,IL,60649
"1st Call Technical Services, Inc",Mailing,P.O. Box 258,Bolingbrook,IL,60440
"1st Call Technical Services, Inc",Physical,214 Butternut Drive,Bolingbrook,IL,60440
1st Choice Specialty Services Inc.,Mailing,18160 Dorchester Ave,Lansing,IL,60438
1st Choice Specialty Services Inc.,Physical,18160 Dorchester Ave.,Lansing,IL,60438
"1st Metropolitan Translation Services, Inc.",Mailing,"875 N. Michigan Ave., Suite 3100",Chicago,IL,60611
"1st Metropolitan Translation Services, Inc.",Physical,"875 N. Michigan Ave., Suite 3100",Chicago,IL,60611
"1st Priority Elevator, Co.",Mailing,16987 Van Dam Road,South Holland,IL,60473
"1st Priority Elevator, Co.",Physical,16987 Van Dam Road,South Holland,IL,60473
"1st Resource Solutions, LLC",Mailing,1916 W. Wilno Dr.,Marion,IN,46952
"1st Resource Solutions, LLC",Physical,222 East 34th Street,Marion,IN,46953
"2 Code Plumbing, LLC",Mailing,21438 W. Grass Lake Rd.,Antioch,IL,60002
"2 Code Plumbing, LLC",Physical,21438 W. Grass Lake Rd.,Antioch,IL,60002
"2 Point Perspective, Inc.",Mailing,1137 W. Webster Ave,Chicago,IL,60614
"2 Point Perspective, Inc.",Physical,1137 W. Webster Ave,Chicago,IL,60614
2 Sons LLC,Mailing,10049 Drury Ln,Westchester,IL,60154
2 Sons LLC,Physical,10049 Drury Ln,Westchester,IL,60154
"2.718 Marketing, Inc.",Mailing,"54 W Hubbard St., Concourse Level East",Chicago,IL,60654
"2.718 Marketing, Inc.",Physical,"54 W Hubbard St., Concourse Level East",Chicago,IL,60654
"21 and Trucking, Inc.",Mailing,"46 East 138th Street, Apt 1W",Riverdale,IL,60827
"21 and Trucking, Inc.",Physical,"46 East 138th Street, Apt 1W",Riverdale,IL,60827
22Vets LLC,Mailing,300 W. Front St.,Harvard,IL,60033
22Vets LLC,Physical,"300 W. Front St., Ste 204D",Harvard,IL,60033
"2IM Group, LLC",Mailing,"118 South Clinton Street, Suite 350",Chicago,IL,60661
"2IM Group, LLC",Physical,"118 South Clinton Street, Suite 350",Chicago,IL,60661
"2K Consulting, LLC",Mailing,5551 10th St,Malone,FL,32445
"2K Consulting, LLC",Physical,6333 Highway 90,Grand Ridge,FL,32442
3 Fuerzas Technology Solutions LLC,Mailing,"6750 W 93rd Street, Suite 140",Overland Park,KS,66212
3 Fuerzas Technology Solutions LLC,Physical,"6750 W 93rd Street, Suite 140",Overland Park,KS,66212
"3 Net Wise, Inc.",Mailing,9852 S. Ellis,Chicago,IL,60628
"3 Net Wise, Inc.",Physical,9852 S. Ellis,Chicago,IL,60628
"3 R Health Care Products, Inc.",Mailing,2751 W 51st St,Chicago,IL,60632
"3 R Health Care Products, Inc.",Physical,2751 W 51st St,Chicago,IL,60632
"3 Sisters Logistics, LLC",Mailing,1412 W Main St.,Teutopolis,IL,62467
"3 Sisters Logistics, LLC",Physical,1412 W Main St.,Teutopolis,IL,62467
3 Stop Shop - P.C.,Mailing,"1240 W. 31st Street, Unit 2",Chicago,IL,60608
3 Stop Shop - P.C.,Physical,"1240 W. 31st Street, Unit 2",Chicago,IL,60608
314e Corporation,Mailing,47102 Mission Falls Court Suite 219,Fremont,CA,94539
314e Corporation,Physical,6701 Koll Center Pkwy Ste 340,Pleasanton,CA,94566
321 Co.,Mailing,"181 N Virginia St, Unit C",Crystal Lake,IL,60014
321 Co.,Physical,"181 N Virginia St, Unit C",Crystal Lake,IL,60014
357 Designs Inc.,Mailing,"3636 S Iron St, Unit B-321",Chicago,IL,60609
357 Designs Inc.,Physical,"3636 S Iron St, Unit B-321",Chicago,IL,60609
"360 Dump-N-Run, Inc.",Mailing,11208 W Riviera Dr,Spring Grove,IL,60081
"360 Dump-N-Run, Inc.",Physical,11208 W Riviera Dr,Spring Grove,IL,60081
3As Sign Language Interpreting Services,Mailing,311 Saint Rose Dr,Godfrey,IL,62035
3As Sign Language Interpreting Services,Physical,311 Saint Rose Dr,Godfrey,IL,62035
3CD Corporation,Mailing,"P.O Box 2125, Country Club Hills",Country Club Hills,IL,60478
3CD Corporation,Physical,"18600 Laramie Rd, Country Club Hills",Country Club Hills,IL,60478
"3Core Systems, Inc.",Mailing,9101 Burnet Rd Ste 207,Austin,TX,78758
"3Core Systems, Inc.",Physical,"75 Executive Dr Ste, 401I",Aurora,IL,60504
3DS Teams,Mailing,2033 W Washington Blvd,Chicago,IL,60612
3DS Teams,Physical,2033 W Washington Blvd,Chicago,IL,60612
3M Landscaping Corporation,Mailing,7221 S. Springfield Ave.,Chicago,IL,60629
3M Landscaping Corporation,Physical,7221 S. Springfield Ave.,Chicago,IL,60629
"4 Consulting, Inc.",Mailing,"10440 N. Central Expressway Suite 643, Suite 208",Dallas,TX,75231
"4 Consulting, Inc.",Physical,"6850 Tpc Dr, Suite 208, Suite 208",Mckinney,TX,75070
"40 Cal Trucking, Inc.",Mailing,18624 Loras Court,Country Club Hills,IL,60478
"40 Cal Trucking, Inc.",Physical,18624 Loras Court,Country Club Hills,IL,60478
4D Acres Real Estate Group LLC,Mailing,7329 S Wabash Ave,Chicago,IL,60619
4D Acres Real Estate Group LLC,Physical,7329 S Wabash Ave,Chicago,IL,60619
4G Transport Inc,Mailing,531 N Rohlwing Rd,Addison,IL,60101
4G Transport Inc,Physical,531 N Rohlwing Rd,Addison,IL,60101
4HD Incorporated,Mailing,"330 E. Roosevelt Rd., Ste. 2G",Lombard,IL,60148
4HD Incorporated,Physical,"330 E. Roosevelt Rd., Ste. 2G",Lombard,IL,60148
"4LM Services, LLC",Mailing,7347 Kiowa Ln,Palos Heights,IL,60463
"4LM Services, LLC",Physical,7347 Kiowa Ln,Palos Heights,IL,60463
"4N CONSULTANTS, INC.",Mailing,"1907 Sherman Avenue, #15",Madison,WI,53704
"4N CONSULTANTS, INC.",Physical,"1907 Sherman Avenue, #15",Madison,WI,53704
"4PL Global Logistics, LLC",Mailing,11436 Twin Lakes Dr,Orland Park,IL,60467
"4PL Global Logistics, LLC",Physical,11436 Twin Lakes Dr,Orland Park,IL,60467
4S Construction Inc.,Mailing,"1101-1 Hillcrest Pkwy Pmb, #34, 20326 Providence Ln",Dublin,GA,31021
4S Construction Inc.,Physical,"1101-1 Hillcrest Pkwy Pmb, #34, 20326 Providence Ln",Dublin,GA,31021
"500 Trucking, Inc.",Mailing,4912 W. Parker Ave.,Chicago,IL,60639
"500 Trucking, Inc.",Physical,4912 W. Parker Ave.,Chicago,IL,60639
510 Transportation LLC,Mailing,202 Northridge Avenue,Bolingbrook,IL,60440
510 Transportation LLC,Physical,202 Northridge Avenue,Bolingbrook,IL,60440
5366 Logistics Corp,Mailing,4501 Us-12,Richmond,IL,60071
5366 Logistics Corp,Physical,4501 Us Route 12,Richmond,IL,60071
548 Capital LLC,Mailing,"700 N Larrabee St, Apt 1301",Chicago,IL,60654
548 Capital LLC,Physical,"700 N Larrabee St, Apt 1301",Chicago,IL,60654
"548 Development, LLC",Mailing,"700 N Larrabee St, Apt 1301",Chicago,IL,60654
"548 Development, LLC",Physical,"700 N Larrabee St, Apt 1301",Chicago,IL,60654
59 Films LLC,Mailing,237 Clinton Ave.,Oak Park,IL,60302
59 Films LLC,Physical,844 Mapleton Ave,Oak Park,IL,60302
5T Development Partners LLC,Mailing,"954 W Washington Blvd, Ste 510",Chicago,IL,60607
5T Development Partners LLC,Physical,"954 W Washington Blvd, Ste 510",Chicago,IL,60607
606 Digital Inc.,Mailing,1506 Central Parkway,Glenview,IL,60025
606 Digital Inc.,Physical,"1506 Central Parkway, Suite 1005",Glenview,IL,60025
"606 Specialties and Contracting, LLC",Mailing,"1440 W Taylor St, #1271",Chicago,IL,60607
"606 Specialties and Contracting, LLC",Physical,"1440 W Taylor St, #1271",Chicago,IL,60607
6C's LLC,Mailing,10534 South Avenue J,Chicago,IL,60617
6C's LLC,Physical,10534 South Avenue J,Chicago,IL,60617
711 GEOL LLC,Mailing,1N350 Blue Ridge Ct,Wheaton,IL,60188
711 GEOL LLC,Physical,1N350 Blue Ridge Ct,Wheaton,IL,60188
720 Worldwide Inc.,Mailing,"79 W Monroe, Suite 1010",Chicago,IL,60603
720 Worldwide Inc.,Physical,"79 W Monroe, Suite 1010",Chicago,IL,60603
"845 Design Group, P.C.",Mailing,"106 Calendar Court, No. 131",La Grange,IL,60525
"845 Design Group, P.C.",Physical,216 E Maple Street,Lombard,IL,60148
88 MIKES INC.,Mailing,3511 Millstream Rd,Marengo,IL,60152
88 MIKES INC.,Physical,3511 Millstream Rd,Marengo,IL,60152
"8th Day Consulting, Training & Software",Mailing,6110 Rob Roy Drive,Oak Forest,IL,60452
"8th Day Consulting, Training & Software",Physical,6110 Rob Roy Drive,Oak Forest,IL,60452
"97 Grain & Trucking, LLC",Mailing,Po Box 143,Macomb,IL,61455
"97 Grain & Trucking, LLC",Physical,Po Box 143,Macomb,IL,61455
@Contract Partners LLC,Mailing,4304 S. Emerald Ave.,Chicago,IL,60609
@Contract Partners LLC,Physical,4304 S. Emerald Ave.,Chicago,IL,60609
"@Veterans Construction Group, LLC.",Mailing,2608 W 25th St,Chicago,IL,60608
"@Veterans Construction Group, LLC.",Physical,2608 W 25th St,Chicago,IL,60608
"A & B Sanchez Landscaping, Inc.",Mailing,2814 East Hintz Road,Arlington Heights,IL,60004
"A & B Sanchez Landscaping, Inc.",Physical,2814 East Hintz Road,Arlington Heights,IL,60004
A & D Cartage Inc.,Mailing,3107 Scott St.,Franklin Park,IL,60131
A & D Cartage Inc.,Physical,3107 Scott St.,Franklin Park,IL,60131
"A & D Property Services, Inc.",Mailing,7346 S. Exchange Ave.,Chicago,IL,60649
"A & D Property Services, Inc.",Physical,7346 S. Exchange Ave.,Chicago,IL,60649
A & G Cleaning Services,Mailing,6445 South State Street,Chicago,IL,60637
A & G Cleaning Services,Physical,6445 South State Street,Chicago,IL,60637
"A & H Mechanical, Inc.",Mailing,1215 East 79th Street,Chicago,IL,60619
"A & H Mechanical, Inc.",Physical,1215 East 79th Street,Chicago,IL,60619
A & J GENERAL CONSTRUCTION CO,Mailing,12851 S. Clinton St.,Blue Island,IL,60406
A & J GENERAL CONSTRUCTION CO,Physical,8848 South Houston Ave.,Chicago,IL,60617
A & L Environmental LLC,Mailing,9157 S Burnside Ave,Chicago,IL,60619
A & L Environmental LLC,Physical,1807 S Trumbull Ave,Chicago,IL,60623
A & M General Contractor Corporation,Mailing,8127 S. Sangamon,Chicago,IL,60620
A & M General Contractor Corporation,Physical,8127 S. Sangamon,Chicago,IL,60620
"A & O Enterprises, Inc.",Mailing,5531 W. Cermak Rd.,Cicero,IL,60804
"A & O Enterprises, Inc.",Physical,"2819 S. Archer Ave. Suite 102, Suite 102",Chicago,IL,60608
"A & O Recovery Solutions, LLC.",Mailing,700 N Sacramento Blvd.Ste #100,Chicago,IL,60612
"A & O Recovery Solutions, LLC.",Physical,700 N Sacramento Blvd.Ste #100,Chicago,IL,60612
"A & R Janitorial Service, Inc.",Mailing,10127 W. Roosevelt Rd.,Westchester,IL,60154
"A & R Janitorial Service, Inc.",Physical,10127 W. Roosevelt Rd.,Westchester,IL,60154
A & S Expert Transportation LLC,Mailing,10632 Dani Lane,Orland Park,IL,60462
A & S Expert Transportation LLC,Physical,10632 Dani Lane,Orland Park,IL,60462
A & T Trucking Company,Mailing,123 Sievert Ct.,Bensenville,IL,60106
A & T Trucking Company,Physical,123 Sievert Ct.,Bensenville,IL,60106
A AND I MEDICAL TRANSPORTATION INC.,Mailing,10661 South Roberts Rd #201,Palos Hills,IL,60465
A AND I MEDICAL TRANSPORTATION INC.,Physical,10661 South Roberts Rd #201,Palos Hills,IL,60465
"A B Petroleum Services, Inc.",Mailing,"7115 S Virginia Rd, Suite 103",Crystal Lake,IL,60014
"A B Petroleum Services, Inc.",Physical,"7115 S Virginia Rd, Suite 103",Crystal Lake,IL,60014
"A C Gentrol, Inc.",Mailing,100 S. Fourth St.,Chillicothe,IL,61523
"A C Gentrol, Inc.",Physical,100 S. Fourth St.,Chillicothe,IL,61523
A C Hauling Services Inc.,Mailing,345 Goldenrod Dr.,Oswego,IL,60543
A C Hauling Services Inc.,Physical,345 Goldenrod Dr.,Oswego,IL,60543
A GUIZAR TRUCKING INC,Mailing,1603 S Highland Ave,Berwyn,IL,60402
A GUIZAR TRUCKING INC,Physical,3321 Wenonah Ave,Berwyn,IL,60402
"A Jacq Hammer, Inc.",Mailing,8057 S. Sangamon,Chicago,IL,60620
"A Jacq Hammer, Inc.",Physical,8057 S. Sangamon,Chicago,IL,60620
A M Perez Trucking Company,Mailing,129 N. School St.,Addison,IL,60101
A M Perez Trucking Company,Physical,339 Manor Hill Ct,Lombard,IL,60148
A New Beginning Starts Now LLC,Mailing,11441 Enterprise Drive,Westchester,IL,60154
A New Beginning Starts Now LLC,Physical,11441 Enterprise Drive,Westchester,IL,60154
A New Way to Go DME Supply Inc.,Mailing,960 Golf Court,Calumet City,IL,60409
A New Way to Go DME Supply Inc.,Physical,960 Golf Court,Calumet City,IL,60409
"A Perfect Sign, Inc.",Mailing,1333 W Devon Ave #506,Chicago,IL,60660
"A Perfect Sign, Inc.",Physical,1333 W Devon Ave #506,Chicago,IL,60660
"A R 1 Transport, Inc.",Mailing,9012 S. Wallace,Chicago,IL,60620
