Company Name,Certification,Renewal,Expiration
#1 Professional Cleaning Services,CEI BEP MBE,8/17/2023,8/17/2029
"#9 Design, LLC",CEI BEP WBE,12/15/2023,12/15/2023
'Bouche' Enterprises LLC,Chicago MBE,4/1/2024,4/1/2024
'Bouche' Enterprises LLC,Chicago WBE,4/1/2024,4/1/2024
'Bouche' Enterprises LLC,CEI BEP WMBE,4/1/2024,4/1/2024
'Merica Made Painting & Decorating Corp.,Chicago MBE,9/1/2023,9/1/2023
*VDR Development Group,CEI BEP MBE,1/18/2024,1/18/2024
@Contract Partners LLC,Chicago WBE,6/15/2023,5/15/2026
@Contract Partners LLC,CEI BEP WBE,7/15/2023,7/15/2023
"@Veterans Construction Group, LLC.",CEI BEP MBE,9/14/2023,9/14/2028
"@Veterans Construction Group, LLC.",CEI BEP SDVOSB,9/14/2023,9/14/2026
"1052 Partners, Inc. dba PeopleCaddie",Chicago MBE,5/1/2024,5/1/2024
"1052 Partners, Inc. dba PeopleCaddie",CEI BEP MBE,5/1/2024,5/1/2024
123 Labor Inc.,CEI BEP MBE,8/8/2023,8/8/2023
1822 Enterprises LLC,CEI BEP MBE,5/1/2024,5/1/2024
"1st Aerow Valuation Group, LLC",CEI BEP MBE,4/3/2024,4/3/2024
"1st Call Technical Services, Inc",Chicago VBE,10/15/2023,10/15/2025
"1st Call Technical Services, Inc",CEI BEP VOSB,4/21/2024,4/21/2025
1st Choice Specialty Services Inc.,CEI BEP MBE,4/15/2024,4/15/2026
1st Choice Specialty Services Inc.,CEI BEP VOSB,4/15/2024,4/15/2024
"1st Metropolitan Translation Services, Inc.",Chicago WBE,6/1/2024,6/1/2026
"1st Metropolitan Translation Services, Inc.",CEI BEP WBE,5/24/2024,5/24/2024
"1st Priority Elevator, Co.",CEI BEP MBE,8/25/2023,8/25/2023
"1st Resource Solutions, LLC",CEI BEP MBE,4/6/2024,4/6/2024
"2 Code Plumbing, LLC",CEI BEP MBE,7/24/2023,7/24/2023
"2 Point Perspective, Inc.",Chicago WBE,10/1/2023,10/1/2024
"2 Point Perspective, Inc.",CEI BEP WBE,10/1/2023,10/1/2023
2 Sons LLC,Chicago BEPD,9/15/2023,9/15/2023
2 Sons LLC,Chicago MBE,9/15/2023,9/15/2023
2 Sons LLC,CEI BEP MBE,9/15/2023,9/15/2023
2 Sons LLC,Chicago VBE,9/15/2023,9/15/2023
"2.718 Marketing, Inc.",CEI BEP WBE,1/10/2024,1/10/2024
"21 and Trucking, Inc.",Chicago MBE,6/15/2023,6/15/2027
"21 and Trucking, Inc.",CEI BEP MBE,5/23/2024,5/23/2024
22Vets LLC,CEI BEP PBE,7/30/2023,7/30/2028
22Vets LLC,CEI BEP SDVOSB,3/17/2024,3/17/2024
"2IM Group, LLC",CEI BEP MBE,11/14/2023,11/14/2026
"2K Consulting, LLC",CEI BEP WBE,7/22/2024,7/22/2029
3 Fuerzas Technology Solutions LLC,CEI BEP WMBE,10/1/2023,10/1/2027
"3 Net Wise, Inc.",CEI BEP MBE,2/3/2024,2/3/2024
"3 R Health Care Products, Inc.",CEI BEP WMBE,2/15/2024,2/15/2029
"3 Sisters Logistics, LLC",CEI BEP WBE,3/15/2024,3/15/2029
3 Stop Shop - P.C.,Chicago MBE,11/30/2018,11/30/2018
314e Corporation,CEI BEP MBE,6/7/2024,6/7/2024
321 Co.,Chicago WBE,7/1/2023,7/1/2023
321 Co.,CEI BEP WBE,7/1/2023,7/1/2023
357 Designs Inc.,CEI BEP MBE,8/16/2023,8/16/2029
"360 Dump-N-Run, Inc.",CEI BEP WMBE,5/25/2024,5/24/2029
3As Sign Language Interpreting Services,CEI BEP WBE,3/31/2024,3/31/2024
3CD Corporation,Chicago MBE,5/1/2023,4/1/2026
3CD Corporation,CEI BEP MBE,5/23/2024,5/23/2024
"3Core Systems, Inc.",CEI BEP MBE,8/25/2023,8/25/2027
3DS Teams,Chicago MBE,5/1/2023,5/1/2023
3M Landscaping Corporation,CEI BEP MBE,5/18/2024,5/18/2024
"4 Consulting, Inc.",CEI BEP WMBE,3/13/2024,3/13/2024
"40 Cal Trucking, Inc.",Chicago MBE,10/1/2023,10/1/2023
"40 Cal Trucking, Inc.",CEI BEP MBE,10/1/2023,10/1/2023
4D Acres Real Estate Group LLC,CEI BEP MBE,3/27/2024,3/27/2024
4G Transport Inc,CEI BEP MBE,11/1/2023,11/1/2023
4HD Incorporated,Chicago WBE,7/1/2023,7/1/2027
4HD Incorporated,CEI BEP WBE,6/5/2024,6/5/2024
"4LM Services, LLC",CEI BEP SDVOSB,11/15/2023,11/15/2027
"4N CONSULTANTS, INC.",CEI BEP WMBE,7/23/2023,7/23/2023
"4PL Global Logistics, LLC",CEI BEP MBE,2/27/2024,2/27/2030
"4PL Global Logistics, LLC",CEI BEP VOSB,2/27/2024,2/27/2030
4S Construction Inc.,CEI BEP MBE,5/18/2024,5/18/2024
"500 Trucking, Inc.",CEI BEP MBE,5/23/2024,5/23/2024
510 Transportation LLC,CEI BEP MBE,7/28/2023,4/28/2028
5366 Logistics Corp,Chicago BEPD,7/15/2022,6/15/2025
5366 Logistics Corp,CEI BEP PBE,3/23/2024,3/23/2029
5366 Logistics Corp,CEI BEP SDVOSB,3/23/2024,3/23/2027
5366 Logistics Corp,Chicago VBE,7/15/2022,6/15/2025
548 Capital LLC,CEI BEP MBE,3/4/2024,3/4/2026
"548 Development, LLC",CEI BEP MBE,5/12/2024,5/12/2027
59 Films LLC,CEI BEP MBE,1/12/2024,1/12/2028
5T Development Partners LLC,Chicago MBE,3/1/2024,3/1/2024
5T Development Partners LLC,CEI BEP MBE,3/1/2024,3/1/2024
606 Digital Inc.,Chicago WBE,9/15/2023,9/15/2025
606 Digital Inc.,CEI BEP WBE,9/15/2023,9/15/2023
"606 Specialties and Contracting, LLC",Chicago MBE,12/1/2022,11/1/2026
6C's LLC,Chicago MBE,9/1/2023,9/1/2024
6C's LLC,CEI BEP MBE,9/1/2023,9/1/2023
711 GEOL LLC,CEI BEP MBE,7/21/2023,6/21/2026
720 Worldwide Inc.,CEI BEP MBE,8/30/2023,8/30/2023
"845 Design Group, P.C.",CEI BEP WBE,10/27/2023,10/27/2023
88 MIKES INC.,Chicago MBE,2/1/2022,1/1/2026
88 MIKES INC.,CEI BEP MBE,5/23/2024,5/23/2024
88 MIKES INC.,Chicago VBE,2/1/2022,1/1/2026
"8th Day Consulting, Training & Software",CEI BEP WBE,7/9/2023,5/9/2025
"8th Day Consulting, Training & Software",Chicago WBE,11/15/2023,11/15/2024
"97 Grain & Trucking, LLC",CEI BEP WBE,5/18/2024,5/18/2024
"A & B Sanchez Landscaping, Inc.",Chicago MBE,4/15/2024,4/15/2024
A & D Cartage Inc.,CEI BEP MBE,5/18/2024,5/18/2024
"A & D Property Services, Inc.",Chicago MBE,7/15/2023,7/15/2023
"A & D Property Services, Inc.",CEI BEP MBE,7/15/2023,7/15/2023
A & G Cleaning Services,Chicago MBE,6/15/2023,6/15/2025
A & G Cleaning Services,CEI BEP MBE,7/15/2023,7/15/2023
"A & H Mechanical, Inc.",Chicago MBE,1/1/2024,1/1/2026
"A & H Mechanical, Inc.",CEI BEP MBE,1/1/2024,1/1/2024
A & J GENERAL CONSTRUCTION CO,Chicago MBE,9/30/2020,9/30/2020
A & L Environmental LLC,Chicago MBE,6/1/2024,6/1/2025
A & L Environmental LLC,Chicago WBE,6/1/2024,6/1/2025
A & L Environmental LLC,CEI BEP WMBE,6/1/2024,6/1/2024
A & M General Contractor Corporation,CEI BEP WMBE,8/9/2023,8/9/2023
"A & O Enterprises, Inc.",Chicago MBE,1/15/2023,12/15/2023
"A & O Recovery Solutions, LLC.",Chicago MBE,9/1/2019,8/1/2023
"A & R Janitorial Service, Inc.",CEI BEP WMBE,4/27/2024,4/27/2024
A & S Expert Transportation LLC,CEI BEP WMBE,5/23/2024,5/23/2024
A & T Trucking Company,CEI BEP MBE,5/23/2024,5/23/2024
"A and C Electric Company, Inc.",Chicago MBE,8/1/2022,7/1/2024
A AND I MEDICAL TRANSPORTATION INC.,CEI BEP WBE,4/10/2024,4/10/2026
"A B Petroleum Services, Inc.",CEI BEP WBE,3/27/2024,3/27/2024
"A C Gentrol, Inc.",CEI BEP MBE,4/5/2024,4/5/2024
A C Hauling Services Inc.,CEI BEP MBE,5/23/2024,5/23/2024
A GUIZAR TRUCKING INC,Chicago MBE,5/15/2021,5/15/2021
A GUIZAR TRUCKING INC,CEI BEP MBE,3/22/2024,3/22/2024
"A Jacq Hammer, Inc.",CEI BEP WBE,4/3/2024,4/3/2024
A M Perez Trucking Company,Chicago MBE,2/1/2024,2/1/2024
A M Perez Trucking Company,Chicago WBE,2/1/2024,2/1/2024
A M Perez Trucking Company,CEI BEP WMBE,2/1/2024,2/1/2024
A New Beginning Starts Now LLC,CEI BEP MBE,7/13/2023,5/13/2028
A New Way to Go DME Supply Inc.,CEI BEP WMBE,8/2/2023,8/2/2023
AP Private Detective & Security Agency Ltd.,Chicago MBE,1/1/2023,12/1/2026
"A Perfect Sign, Inc.",CEI BEP WMBE,12/6/2023,12/6/2023
"A R 1 Transport, Inc.",CEI BEP MBE,4/3/2024,4/3/2024
"A Secure Foundation, LLC",CEI BEP WMBE,1/9/2024,1/9/2024
A Tip For The Future LLC,CEI BEP VOSB,4/7/2024,4/7/2027
A Train Transportation,Chicago MBE,8/31/2023,8/31/2025
A Train Transportation,CEI BEP MBE,8/31/2023,8/31/2023
"A VET Communications, Inc.",Chicago MBE,1/15/2024,1/15/2027
"A VET Communications, Inc.",CEI BEP MBE,1/15/2024,1/15/2024
"A VET Communications, Inc.",Chicago VBE,1/15/2024,1/15/2027
"A View2 ITS, Inc.",CEI BEP MBE,9/15/2023,9/15/2023
A WMBE CARPENTRY CONTRACTORS,Chicago MBE,7/15/2024,7/15/2024
A WMBE CARPENTRY CONTRACTORS,Chicago WBE,7/15/2023,7/15/2025
A WMBE CARPENTRY CONTRACTORS,CEI BEP WMBE,5/7/2024,5/7/2027
"A&A Consultants, Inc.",CEI BEP MBE,10/15/2023,10/15/2023
A&A TRANSPORT SERVICES INC.,Chicago MBE,2/15/2023,1/15/2027
A&A TRANSPORT SERVICES INC.,CEI BEP MBE,5/23/2024,5/23/2024
A&B Environmental Construction Inc.,Chicago MBE,4/1/2024,4/1/2024
A&B Environmental Construction Inc.,Chicago WBE,4/1/2024,4/1/2024
A&B Environmental Construction Inc.,CEI BEP WMBE,4/1/2024,4/1/2024
A&R Concrete Construction Company,Chicago MBE,7/15/2023,7/15/2025
A&R Concrete Construction Company,CEI BEP MBE,7/15/2023,7/15/2023
"A & R Janitorial Service, Inc.",Chicago MBE,3/15/2024,3/15/2024
"A & R Janitorial Service, Inc.",Chicago WBE,3/15/2023,3/15/2023
A-1 Haney Plumbing Inc.,CEI BEP WBE,3/1/2024,3/1/2028
"A-1 Private Investigations, LLC",CEI BEP MBE,4/3/2024,4/3/2024
"A-FAST BOARD UP & GLASS, INC.",Chicago MBE,3/1/2023,2/1/2028
"A-Masonry Group, Inc.",CEI BEP MBE,2/3/2024,2/3/2024
"A-Masonry Group, Inc.",Chicago MBE,6/1/2024,6/1/2024
"A-Ware Enterprises, Inc.",CEI BEP WBE,5/24/2024,5/24/2024
