"Contract / Blanket #","Bid Solicitation #","Description","Vendor","Type Code","Dollars Spent to Date","Organization","Status","Begin Date","End Date"
"CIB6354390","","Prescription Drugs","CaremarkPCS Health, L.L.C.","B","$0.00","CMS - Central Management Services","3PS - Sent","07/01/2015","06/30/2024"
"CIB5736630","","ConnectYourCare - Flexible Spending","ConnectYourCare, LLC","A","$0.00","CMS - Central Management Services","3PS - Sent","07/01/2019","06/30/2023"
"23-563WCC-WCC56-P-39787","","Sole Source- WCRI CompScope Reports 23","WCRI","D","$0.00","WCC - Illinois Worker's Compensation Commission","3PS - Sent","08/15/2022","06/30/2023"
"23-563WCC-WCC56-P-38456","","EDI Hosting and Maintenance FY 23","Ebix, Inc.","C","$0.00","WCC - Illinois Worker's Compensation Commission","3PS - Sent","07/01/2022","06/30/2023"
"23-551HDA-LEGAL-P-39047","","Foley & Lardner Bond Counsel (Exempt)","FOLEY & LARDNER LLP","Z","$0.00","HDA - Housing Development Authority","3PS - Sent","07/07/2022","07/06/2024"
"23-533CEI-ADMIN-P-44251","","SEFS Diversity Cert & Compliance","B2Gnow/AskReply, Inc.","D","$0.00","CEI - Commission on Equity and Inclusion","3PS - Sent","12/01/2022","06/30/2023"
"23-510CPOGS-CPOGS-P-45094","","PB*JPMC Mailing Equipment","Pitney Bowes Inc","B","$2,205,468.70","CPOGS - CPO Office for General Services","3PS - Sent","01/01/2023","12/31/2023"
"23-510CPOGS-CPOGS-P-42297","","JPMC PB FedEx Small Package Delivery","FedEx Corporate Services","B","$1,226,710.65","CPOGS - CPO Office for General Services","3PS - Sent","10/04/2022","11/27/2026"
"23-506ALPLM-ALPLM-P-45527","","SW Parking Management Systems","T2 Systems, INC","A","$0.00","ALPLM - Abraham Lincoln Presidential Library and Museum","3PS - Sent","08/03/2021","10/27/2025"
"23-494DOT-DISTR-P-51168","","Poly Liner - 931A","Energy Culvert Company, LLC","C","$0.00","DOT - Transportation","3PS - Sent","05/17/2023","08/31/2023"
"23-494DOT-DISTR-P-40005","","Ready Mix Contract Fulton County","Canton Ready-Mix, Inc. ","C","$0.00","DOT - Transportation","3PS - Sent","08/12/2022","06/30/2023"
"23-493ISP-OPERA-P-49223","","DFS-Scanning Electron Microscope IFB-ah","nanoScience","A","$186,373.75","ISP - Illinois State Police","3PS - Sent","04/03/2023","04/02/2028"
"23-493ISP-OPERA-P-45643","","DCI-Hazwopher physicals-IFB-ah","Springfield Clinic","A","$0.00","ISP - Illinois State Police","3PS - Sent","01/27/2023","01/26/2028"
"23-493ISP-OPERA-P-44593","","DCI-Analytic software and equipment -IFB-ah","National Tek Services, Inc.","A","$417,038.00","ISP - Illinois State Police","3PS - Sent","12/20/2022","12/19/2027"
"23-493ISP-FOREN-P-50695","","DFS-DNA Indexing Kits-SLB","TRI TECH FORENSICS, INC.","A","$0.00","ISP - Illinois State Police","3PS - Sent","07/01/2020","06/30/2026"
"23-493ISP-FOREN-P-47183","","DFS Decatur Intrusion Security","Midwest integrated solutions","C","$0.00","ISP - Illinois State Police","3PS - Sent","02/09/2023","02/07/2027"
"23-493ISP-FOREN-P-47135","","DFS Crime Scene Commodities AO","The Peavey Corporation","C","$1,150.30","ISP - Illinois State Police","3PS - Sent","02/08/2023","06/30/2023"
"23-493ISP-FOREN-P-47134","","DFS Crime Scene Commodities AO","Sirchie Acquisition Company, LLC","C","$9,357.50","ISP - Illinois State Police","3PS - Sent","02/08/2023","06/30/2023"
"23-493ISP-FOREN-P-47133","","DFS Crime Scene Commodities AO","Secure Products Corp","C","$1,317.23","ISP - Illinois State Police","3PS - Sent","02/08/2023","06/30/2023"
"23-493ISP-FOREN-P-46508","","DFS Victim Suspect Kits HK","Sirchie Acquisition Company, LLC","C","$4,475.00","ISP - Illinois State Police","3PS - Sent","02/06/2023","02/05/2028"
"23-493ISP-FOREN-P-46124","","R-156222 DFS-Neogen_AO","Neogen Corporation","C","$4,261.10","ISP - Illinois State Police","3PS - Sent","01/01/2023","12/31/2023"
"23-493ISP-FOREN-P-45772",""," DFS-Sole Source Promega DNA Commodities-AJO","Promega Corporation","D","$1,247,472.80","ISP - Illinois State Police","3PS - Sent","02/01/2023","01/31/2025"
"23-493ISP-FOREN-P-45461","","DFS POW-R-Guard maintenance Small Purchase with Sole Source Conditions -AO","Altorfer Inc.","C","$1,755.00","ISP - Illinois State Police","3PS - Sent","01/04/2023","01/03/2028"
"23-493ISP-FOREN-P-43853","","DFS-ISO Accreditation-RE-BID -HK","ANSI-ASQ National Accreditation Board FQS","A","$0.00","ISP - Illinois State Police","3PS - Sent","05/06/2023","05/05/2027"
"23-493ISP-FOREN-P-42728","","DFS Indexing HVAC Agreement - AO","Henson Robinson Company","C","$7,835.17","ISP - Illinois State Police","3PS - Sent","10/13/2022","10/13/2023"
"23-493ISP-ADMIN-P-49715","","ISP Police Canines-IFB-AO","FM K9","A","$0.00","ISP - Illinois State Police","3PS - Sent","04/14/2023","04/13/2026"
"23-492DOR-ACCOU-P-37985","","IDOR Cigarette Tax Stamps ","Meyercord Revenue Inc,","A","$99,225.00","REV - Revenue","3PS - Sent","09/13/2022","06/30/2026"
"23-482DPH-HLTHP-P-40879","","Argyle 35000001K License Cards","Argyle Print Group, Inc","C","$0.00","DPH - Public Health","3PS - Sent","10/01/2022","09/30/2025"
"23-482DPH-HLTHP-P-38172","","BioMerieux 38500006K Serv-Comm","BioMerieux inc","C","$0.00","DPH - Public Health","3PS - Sent","07/01/2022","06/30/2023"
"23-482DPH-HLTHP-P-34960","","Optiform 38500001K License FY23","Optiform, Inc","C","$0.00","DPH - Public Health","3PS - Sent","07/01/2022","06/30/2023"
"23-478HFS-DIREC-P-45691","","Novation- Asset Verification Services","Public Consulting Group, LLC","B","$0.00","HFS - Healthcare and Family Services","3PS - Sent","07/15/2018","07/14/2028"
"23-478HFS-CHSUP-P-51208","","DCSS Genetic Testing Contract / Legacy Upload","DNA Diagnostics Center, Inc.","A","$0.00","HFS - Healthcare and Family Services","3PS - Sent","07/01/2018","06/30/2023"
