"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Male","Total Population: Female","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Population 16 Years and Over:","Population 16 Years and Over: in Labor Force","Population 16 Years and Over: in Labor Force: in Armed Forces","Population 16 Years and Over: in Labor Force: Civilian","Population 16 Years and Over: in Labor Force: Civilian: Employed","Population 16 Years and Over: in Labor Force: Civilian: Unemployed","Population 16 Years and Over: Not in Labor Force","Median Household Income (In 2021 Inflation Adjusted Dollars)","Per Capita Income (In 2021 Inflation Adjusted Dollars)","Gini Index","Housing Units","Median Gross Rent"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A17002_001,SE_A17002_002,SE_A17002_003,SE_A17002_004,SE_A17002_005,SE_A17002_006,SE_A17002_007,SE_A14006_001,SE_A14024_001,SE_A14028_001,SE_A10001_001,SE_A18009_001
"17001000100","Census Tract 1, Adams County, Illinois","ACSSF","il","140","00","0005840",,,,,"17","001",,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17001000100","Census Tract 1",,,,4652,4652,855.2921,5.43907771001256,4652,2105,2547,4652,4242,257,0,64,0,0,89,3523,352,3171,2108,731,299,19,8,3875,2363,0,2363,2244,119,1512,56603,35745,0.4227,2414,901
"17001000201","Census Tract 2.01, Adams County, Illinois","ACSSF","il","140","00","0005841",,,,,"17","001",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17001000201","Census Tract 2.01",,,,2013,2013,1626.053,1.23796673961424,2013,954,1059,2013,1831,119,0,6,0,6,51,1400,144,1256,749,376,119,19,6,1615,1055,0,1055,1032,23,560,44453,27131,0.3892,902,816
"17001000202","Census Tract 2.02, Adams County, Illinois","ACSSF","il","140","00","0005842",,,,,"17","001",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17001000202","Census Tract 2.02",,,,2361,2361,4036.396,0.58492780661532,2361,1157,1204,2361,2138,94,0,2,0,0,127,1499,129,1370,915,471,136,66,0,1878,1338,0,1338,1280,58,540,60690,27899,0.3275,1110,976
"17001000400","Census Tract 4, Adams County, Illinois","ACSSF","il","140","00","0005843",,,,,"17","001",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17001000400","Census Tract 4",,,,3063,3063,1785.478,1.71550678999285,3063,1540,1523,3063,2514,335,0,23,0,2,189,2248,285,1963,966,252,89,22,0,2452,1330,0,1330,1297,33,1122,42328,22311,0.3883,1594,639
"17001000500","Census Tract 5, Adams County, Illinois","ACSSF","il","140","00","0005844",,,,,"17","001",,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17001000500","Census Tract 5",,,,1991,1991,4084.433,0.487460559662825,1991,931,1060,1991,1720,135,3,29,0,26,78,1402,124,1278,706,171,40,9,9,1618,854,0,854,803,51,764,39234,19711,0.3969,929,779
"17001000600","Census Tract 6, Adams County, Illinois","ACSSF","il","140","00","0005845",,,,,"17","001",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17001000600","Census Tract 6",,,,4401,4401,4174.388,1.05428635190588,4401,2155,2246,4401,4111,150,0,21,4,0,115,2871,32,2839,2195,1249,534,80,30,3581,2680,0,2680,2579,101,901,65012,39658,0.4619,1974,710
"17001000700","Census Tract 7, Adams County, Illinois","ACSSF","il","140","00","0005846",,,,,"17","001",,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17001000700","Census Tract 7",,,,1106,1106,2111.06,0.523907446675429,1106,527,579,1106,985,101,0,4,0,0,16,942,287,655,358,91,19,0,0,1031,381,0,381,349,32,650,17766,17523,0.4398,1022,499
"17001000800","Census Tract 8, Adams County, Illinois","ACSSF","il","140","00","0005847",,,,,"17","001",,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17001000800","Census Tract 8",,,,2780,2780,3041.351,0.914067555525354,2780,1407,1373,2780,2178,401,0,10,0,0,191,1963,474,1489,573,92,20,1,1,2258,1203,0,1203,1010,193,1055,32077,18663,0.4152,1265,475
"17001000900","Census Tract 9, Adams County, Illinois","ACSSF","il","140","00","0005848",,,,,"17","001",,,"000900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17001000900","Census Tract 9",,,,2599,2599,3743.956,0.694185455685509,2599,1191,1408,2599,2268,176,0,0,0,19,136,1600,119,1481,1001,353,51,0,0,2029,1499,0,1499,1273,226,530,39727,27710,0.5113,1358,607
